C_MB,Delta0,Delta_min,Q_adiabatic,U,efficiency_adiabatic,maximum_residual,minimum_overlap,polarization_points,wall_time_s
1.9999999999999998,5.0,2.9141050013936223,2.0,2.0,1.0,2.3531220263992604e-09,0.928789313538906,10,8.392771310172975
2.0000000000000004,5.0,2.288123049218904,2.0,4.0,1.0,1.7323862123843404e-09,0.9489601427172208,10,10.108549421653152
1.9999999999999998,5.0,2.044132197177836,2.0,5.0,1.0,1.592710152022745e-09,0.9463576086462109,10,9.888575052842498
2.0,5.0,1.936711654165574,2.0,5.5,1.0,1.3519039546789712e-09,0.945844924789646,10,9.230583120137453
2.0000000000000004,5.0,1.837931125186091,1.9999999999999998,6.0,0.9999999999999999,1.0753679731681754e-09,0.9464247129219935,10,8.851075975224376
2.0000000000000004,5.0,1.7470279460278864,2.0,6.5,1.0,1.1940246207866056e-09,0.9480232940325831,10,9.12929485552013
2.0,5.0,1.6632886770317015,2.0000000000000004,7.0,1.0000000000000002,9.523927757983008e-10,0.950454854904176,10,9.630794352851808
2.0000000000000004,5.0,1.6238972700972951,2.0,7.25,1.0,1.0029642402936223e-09,0.9519062840059523,10,9.760450893081725
2.0,5.0,1.5860538757961056,2.0,7.5,1.0,9.873900392331494e-10,0.9534711586404062,10,9.595791919156909
1.9999999999999998,5.0,1.5147194017540855,2.0,8.0,1.0,8.512673457326353e-10,0.956817094361159,10,9.898254952393472
2.0,5.0,1.2781456595752627,2.0,10.0,1.0,2.243271617205277e-11,0.9483931602359976,10,9.329164393246174
2.7194846885777464e-17,5.0,0.47064649007676396,2.6020852139652106e-17,16.0,1.3010426069826053e-17,2.0276361672016e-10,0.9604971582158124,5,2.7069139843806624
2.8860013589126147e-17,5.0,0.1790661610033497,2.813504637599884e-17,32.0,1.406752318799942e-17,1.114972963046097e-10,0.9914200316657714,5,3.0454669650644064
