C_MB,C_MB_integer,Delta0,Delta_center,Delta_min,Q_topological,U,branch,chern_grid,efficiency_topological,label,maximum_abs_flux,maximum_residual,minimum_overlap,path_id,wall_time_s
1.0,1,3.0,2.85,0.04404204334177386,1.0,1.007883835,low,20,0.5,"near-tangent, enclosing origin",0.342370471669969,2.7342433353872023e-09,0.6497849398350313,near-tangent,28.52628873102367
1.0,1,3.0,2.85,0.08803259276956865,1.0,1.382883835,low,20,0.5,"near-tangent, enclosing origin",0.17130346146899597,3.087625611505937e-09,0.7023956549678054,near-tangent,31.487276216968894
1.0000000000000002,1,3.0,2.85,0.16201912561142806,1.0000000000000004,12.539003998,high,20,0.5000000000000002,"near-tangent, enclosing origin",0.2639398762558248,3.5525831167175486e-10,0.705327457745448,near-tangent,41.52870844025165
1.0,1,3.0,2.85,0.07041820398464083,1.0,12.914003998,high,20,0.5,"near-tangent, enclosing origin",0.5942323149499867,4.19649602028595e-10,0.6768497714740681,near-tangent,32.12461840547621
-7.067899292141149e-17,0,3.0,2.85,0.0649454867371908,-5.787606721999183e-17,13.164003998,high,20,-2.8938033609995917e-17,"near-tangent, enclosing origin",0.48193440544945726,3.883109354719003e-10,0.7084483303735055,near-tangent,31.468322061933577
7.951386703658792e-17,0,3.0,2.85,0.15072734534038923,7.977356297241e-17,13.539003998,high,20,3.9886781486205e-17,"near-tangent, enclosing origin",0.17514487585300992,3.7652042296714583e-10,0.7290250714634736,near-tangent,37.75335405673832
1.9436723053388158e-16,0,3.0,3.6,0.24508256675618068,2.6237692574149207e-16,1.8436823900000001,low,20,1.3118846287074604e-16,translated outside origin,0.3538727798655579,3.3816146241097734e-09,0.7247020676726126,outside,35.67389339488
1.7669748230352872e-16,0,3.0,3.6,0.05946542196187998,-7.166576360129184e-17,2.21868239,low,20,-3.583288180064592e-17,translated outside origin,0.6640945103148513,3.0390444214035073e-09,0.6913790412822416,outside,29.623785911127925
1.0000000000000002,1,3.0,3.6,0.05778488406884108,1.0000000000000002,2.46868239,low,20,0.5000000000000001,translated outside origin,0.6031219488084383,3.1645597545560992e-09,0.6753391417807968,outside,32.9038663841784
1.0,1,3.0,3.6,0.2175757928675539,1.0000000000000002,2.84368239,low,20,0.5000000000000001,translated outside origin,0.28512614709368866,2.6121321405855973e-09,0.7031254585003434,outside,39.51054107397795
1.0,1,3.0,3.6,0.146601787524262,1.0,14.031681175,high,20,0.5,translated outside origin,0.2609354034198851,4.789332564490262e-10,0.7061349953354574,outside,32.63671923801303
1.0000000000000002,1,3.0,3.6,0.07054457241693335,1.0,14.406681175,high,20,0.5,translated outside origin,0.5902348217112305,4.1398143813137165e-10,0.6777389929493913,outside,32.62467789463699
-1.9436723053388158e-16,0,3.0,3.6,0.06495966486083837,-2.3005414847426797e-16,14.656681175,high,20,-1.1502707423713399e-16,translated outside origin,0.48061380611846216,4.177945407466557e-10,0.7079575317932525,outside,32.376872116699815
1.9436723053388158e-16,0,3.0,3.6,0.1371729382499005,1.9878846832521724e-16,15.031681175,high,20,9.939423416260862e-17,translated outside origin,0.1738741456720475,3.834737558579134e-10,0.7285471433758334,outside,32.63267842121422
