Delta_center,Delta_min_line,E0,E1,U,U_offset,branch,critical_U,maximum_residual,path_id,phi_fraction,phi_over_pi,wall_time_s
1.5,0.48064550558117336,-6.101870613122248,-5.621225107541075,9.604477369,-0.75,high,10.354477369,7.391669674859279e-14,shift-1p5,0.25,0.5,0.07922371476888657
1.5,0.30643941812992015,-5.61047410061393,-5.3040346824840094,9.854477369,-0.5,high,10.354477369,6.697757814974749e-14,shift-1p5,0.25,0.5,0.08418389409780502
1.5,0.22383865607794995,-5.377684817215508,-5.153846161137558,9.979477369,-0.375,high,10.354477369,6.767826949076294e-14,shift-1p5,0.25,0.5,0.08277358300983906
1.5,0.14488282288713794,-5.15403854337754,-5.009155720490402,10.104477369,-0.25,high,10.354477369,9.469988003572669e-14,shift-1p5,0.25,0.5,0.0825630221515894
1.5,0.07009389231859853,-4.93995866040032,-4.8698647680817215,10.229477369,-0.125,high,10.354477369,2.1809993372043953e-13,shift-1p5,0.25,0.5,0.08641856629401445
1.5,0.03442726156334608,-4.836636791319153,-4.802209529755807,10.291977369,-0.0625,high,10.354477369,1.6400919800511372e-13,shift-1p5,0.25,0.5,0.09024082310497761
1.5,1.4908294083681994e-06,-4.735861098295678,-4.73585960746627,10.354477369,0.0,high,10.354477369,1.0193835949717967e-10,shift-1p5,0.25,0.5,0.08512091170996428
1.5,0.03313128144989985,-4.6708035538312185,-4.637672272381319,10.416977369,0.0625,high,10.354477369,6.59577312388957e-13,shift-1p5,0.25,0.5,0.0995086021721363
1.5,0.06490533731062964,-4.607020310973135,-4.542114973662505,10.479477369,0.125,high,10.354477369,1.653617781516278e-12,shift-1p5,0.25,0.5,0.09975442662835121
1.5,0.12418893395887043,-4.483207368572578,-4.3590184346137075,10.604477369,0.25,high,10.354477369,1.9484970437214924e-11,shift-1p5,0.25,0.5,0.09924164321273565
1.5,0.17753546372441598,-4.364278240849957,-4.186742777125541,10.729477369,0.375,high,10.354477369,1.256777846447126e-10,shift-1p5,0.25,0.5,0.09785380214452744
1.5,0.22477662142279264,-4.250081586278898,-4.0253049648561054,10.854477369,0.5,high,10.354477369,6.567082609793007e-14,shift-1p5,0.25,0.5,0.1198772182688117
1.5,0.3011238063897945,-4.03525374398427,-3.734129937594475,11.104477369,0.75,high,10.354477369,2.1054204949596332e-13,shift-1p5,0.25,0.5,0.09776877425611019
1.5,0.3191601714099579,-3.83742876110727,-3.5182685896973123,11.354477369,1.0,high,10.354477369,2.047228483852734e-13,shift-1p5,0.25,0.5,0.0909331813454628
2.85,0.33730103914418486,-10.260303346712513,-9.923002307568328,-0.117116165,-1.0,low,0.882883835,4.676329301626194e-14,near-tangent,0.75,1.5,0.07538186479359865
2.85,0.256854016974259,-9.709229149554755,-9.452375132580496,0.132883835,-0.75,low,0.882883835,5.898576833284995e-14,near-tangent,0.75,1.5,0.07493499759584665
2.85,0.17346166809660168,-9.176820350913365,-9.003358682816764,0.382883835,-0.5,low,0.882883835,2.49135400644386e-14,near-tangent,0.75,1.5,0.07615869678556919
2.85,0.13079106128380857,-8.917637217117356,-8.786846155833548,0.507883835,-0.375,low,0.882883835,4.794337608086284e-14,near-tangent,0.75,1.5,0.0773168783634901
2.85,0.0875777444014787,-8.663176986962137,-8.575599242560658,0.632883835,-0.25,low,0.882883835,5.728154670728906e-14,near-tangent,0.75,1.5,0.0778739508241415
2.85,0.043933236349136706,-8.413498173287726,-8.36956493693859,0.757883835,-0.125,low,0.882883835,4.0111023551951105e-14,near-tangent,0.75,1.5,0.07821171171963215
2.85,0.02199251725793161,-8.290477543466258,-8.268485026208326,0.820383835,-0.0625,low,0.882883835,4.116921095596501e-14,near-tangent,0.75,1.5,0.07765052001923323
2.85,2.4441168733346785e-07,-8.16868712366599,-8.168686879254302,0.882883835,0.0,low,0.882883835,2.7966133640795972e-14,near-tangent,0.75,1.5,0.07751755602657795
2.85,0.02201999997122428,-8.070162954713878,-8.048142954742653,0.945383835,0.0625,low,0.882883835,2.4182037121175617e-14,near-tangent,0.75,1.5,0.07759662810713053
2.85,0.04404204334171258,-7.972905524153418,-7.928863480811706,1.007883835,0.125,low,0.882883835,4.975184998624218e-14,near-tangent,0.75,1.5,0.0778670059517026
2.85,0.06237111947194407,-7.782158334529773,-7.719787215057829,1.132883835,0.25,low,0.882883835,5.029750945319623e-14,near-tangent,0.75,1.5,0.07743356190621853
2.85,0.07488400760438463,-7.596379986842104,-7.521495979237719,1.257883835,0.375,low,0.882883835,2.635378541517882e-14,near-tangent,0.75,1.5,0.07758908905088902
2.85,0.08803259276958642,-7.41550257553105,-7.327469982761464,1.382883835,0.5,low,0.882883835,2.771111194542833e-14,near-tangent,0.75,1.5,0.07742803078144789
2.85,0.1156736160071219,-7.068167175633217,-6.952493559626095,1.632883835,0.75,low,0.882883835,3.308083359143312e-14,near-tangent,0.75,1.5,0.07720684725791216
2.85,0.14416641688040688,-6.7395641575336835,-6.595397740653277,1.882883835,1.0,low,0.882883835,3.1341276728561115e-14,near-tangent,0.75,1.5,0.07788433600217104
2.85,0.6727370307403939,-6.543639511773927,-5.870902481033533,12.039003998,-1.0,high,13.039003998,9.404106699621474e-14,near-tangent,0.25,0.5,0.10110124200582504
2.85,0.4861129481772348,-6.014843509506699,-5.528730561329464,12.289003998,-0.75,high,13.039003998,1.4576819213094542e-13,near-tangent,0.25,0.5,0.1001222962513566
2.85,0.3092582820213634,-5.518987330363918,-5.209729048342554,12.539003998,-0.5,high,13.039003998,2.0315606239604394e-12,near-tangent,0.25,0.5,0.10183139238506556
2.85,0.2255978694575269,-5.284382707826318,-5.0587848383687914,12.664003998,-0.375,high,13.039003998,1.729555774919629e-12,near-tangent,0.25,0.5,0.10760809574276209
2.85,0.14580082786370507,-5.059240345356014,-4.913439517492309,12.789003998,-0.25,high,13.039003998,7.504570137240363e-12,near-tangent,0.25,0.5,0.11045410856604576
2.85,0.07041820398479359,-4.844011972833837,-4.773593768849043,12.914003998,-0.125,high,13.039003998,7.705464537310651e-12,near-tangent,0.25,0.5,0.11089039966464043
2.85,0.03455502616909101,-4.740253180716386,-4.705698154547295,12.976503998,-0.0625,high,13.039003998,1.1630104933536272e-11,near-tangent,0.25,0.5,0.11106190830469131
2.85,5.86734095087138e-07,-4.639133638161139,-4.639133051427044,13.039003998,0.0,high,13.039003998,2.6801797654471317e-12,near-tangent,0.25,0.5,0.13795980624854565
2.85,0.033186414867545366,-4.573883939503861,-4.5406975246363155,13.101503998,0.0625,high,13.039003998,3.1870803555753567e-10,near-tangent,0.25,0.5,0.10235900804400444
2.85,0.06494548673717393,-4.509932063799004,-4.44498657706183,13.164003998,0.125,high,13.039003998,1.7081612506527253e-10,near-tangent,0.25,0.5,0.10169882234185934
2.85,0.12399052222349916,-4.385850562887263,-4.2618600406637634,13.289003998,0.25,high,13.039003998,7.330016796857705e-14,near-tangent,0.25,0.5,0.12526207324117422
2.85,0.17683893462133238,-4.266741015041195,-4.089902080419862,13.414003998,0.375,high,13.039003998,1.0450656063009272e-13,near-tangent,0.25,0.5,0.12517462205141783
2.85,0.2233594736635367,-4.152447485840037,-3.9290880121765004,13.539003998,0.5,high,13.039003998,1.0992349840523627e-13,near-tangent,0.25,0.5,0.12582567986100912
2.85,0.29780650263444786,-3.9376564692636236,-3.6398499666291757,13.789003998,0.75,high,13.039003998,7.551224416877258e-12,near-tangent,0.25,0.5,0.12466686684638262
2.85,0.31632068488140686,-3.7401406634465455,-3.4238199785651386,14.039003998,1.0,high,13.039003998,6.398089398526443e-11,near-tangent,0.25,0.5,0.12461176794022322
3.6,0.5017588767279308,-8.412424465209396,-7.910665588481465,1.3436823900000001,-1.0,low,2.34368239,3.2748501319732675e-14,outside,0.75,1.5,0.07725282479077578
3.6,0.37263249624677286,-7.900666228798999,-7.528033732552226,1.5936823900000001,-0.75,low,2.34368239,3.3691343620500536e-14,outside,0.75,1.5,0.08323089219629765
3.6,0.24508256675622597,-7.410550410393075,-7.165467843636849,1.8436823900000001,-0.5,low,2.34368239,2.5160310461646837e-14,outside,0.75,1.5,0.07739410921931267
3.6,0.182254019816793,-7.173834352358446,-6.991580332541653,1.9686823900000001,-0.375,low,2.34368239,3.2774482406281494e-14,outside,0.75,1.5,0.07765885163098574
3.6,0.12030518525676737,-6.942849137593593,-6.822543952336826,2.09368239,-0.25,low,2.34368239,2.7496349158209523e-14,outside,0.75,1.5,0.07795253302901983
3.6,0.05946542196191018,-6.71775877423471,-6.6582933522728,2.21868239,-0.125,low,2.34368239,3.9663141314250265e-14,outside,0.75,1.5,0.07770323101431131
3.6,0.029543181520812034,-6.607484241298922,-6.57794105977811,2.28118239,-0.0625,low,2.34368239,3.13964696837191e-14,outside,0.75,1.5,0.07877664361149073
3.6,9.758457872877102e-07,-6.4987596544216135,-6.498758678575826,2.34368239,0.0,low,2.34368239,3.5477446646788555e-14,outside,0.75,1.5,0.07830240949988365
3.6,0.0291221247443767,-6.42073681325471,-6.391614688510333,2.40618239,0.0625,low,2.34368239,2.3437584620410102e-14,outside,0.75,1.5,0.0781854186207056
3.6,0.057784884068863285,-6.343865817704439,-6.286080933635576,2.46868239,0.125,low,2.34368239,3.738815781424316e-14,outside,0.75,1.5,0.07794650457799435
3.6,0.11355478102951189,-6.1935366458103065,-6.079981864780795,2.59368239,0.25,low,2.34368239,2.4083346310744453e-14,outside,0.75,1.5,0.0779803991317749
