C_MB,C_MB_integer,Delta0,Delta_center,Delta_min,Q_adiabatic,U,chern_grid,efficiency_adiabatic,label,maximum_abs_flux,maximum_residual,minimum_overlap,path_id,wall_time_s
1.0000000000000002,1,3.0,1.5,0.6470865444509433,1.0,8.0,10,0.5,"shifted, enclosing origin",0.2329100988552565,7.385029173326121e-10,0.28110369392138246,shift-1p5,7.644128426909447
1.0000000000000002,1,3.0,1.5,0.5232091704107518,1.0,10.0,10,0.5,"shifted, enclosing origin",1.4550088421339846,1.3931099255837464e-10,0.025333850778117804,shift-1p5,7.500431322492659
-3.467569457863896e-18,0,3.0,1.5,0.32917039779297363,-5.952947553303223e-18,16.0,10,-2.9764737766516114e-18,"shifted, enclosing origin",0.025915625406383317,1.1713726942348857e-10,0.2882619107454307,shift-1p5,8.625284165143967
-2.525385998529055e-18,0,3.0,1.5,0.16475426148256078,-3.0806588291638903e-18,32.0,10,-1.5403294145819452e-18,"shifted, enclosing origin",0.0020560830746886903,6.943048415084831e-11,0.3016350148977889,shift-1p5,11.859423818066716
2.0000000000000004,2,3.0,2.85,0.1633098976102474,2.0,-32.0,10,1.0,"near-tangent, enclosing origin",1.7458053941166671,1.1383293670425232e-08,0.12138653422528253,near-tangent,10.67424736265093
2.0000000000000004,2,3.0,2.85,0.31835810857872104,2.0,-16.0,10,1.0,"near-tangent, enclosing origin",2.3431251415641845,5.992857012039542e-09,0.10083797536210902,near-tangent,7.907762392424047
2.0000000000000004,2,3.0,2.85,0.5880263599292448,1.9999999999999998,-8.0,10,0.9999999999999999,"near-tangent, enclosing origin",2.712493448736562,4.621610811639007e-09,0.09021760200465273,near-tangent,6.92867536842823
1.9999999999999998,2,3.0,2.85,0.8972423842721327,2.0000000000000004,-4.0,10,1.0000000000000002,"near-tangent, enclosing origin",2.8021794987410926,3.67253715940249e-09,0.04237442749605974,near-tangent,7.300611739046872
1.9999999999999998,2,3.0,2.85,1.1124792405302344,2.0,0.0,10,1.0,"near-tangent, enclosing origin",3.0997554898768804,4.1507370570080035e-10,2.7974302599402936e-05,near-tangent,4.710453049279749
1.0000000000000002,1,3.0,2.85,1.0051325679986034,1.0,2.0,10,0.5,"near-tangent, enclosing origin",0.24596316106022556,2.806318932462076e-09,0.17184681261203835,near-tangent,7.979511142708361
1.0,1,3.0,2.85,0.8971092876597293,1.0,4.0,10,0.5,"near-tangent, enclosing origin",0.24722324723359537,1.8157014246771192e-09,0.2583663461520313,near-tangent,7.534940030425787
1.0000000000000002,1,3.0,2.85,0.8124338300196818,1.0,5.0,10,0.5,"near-tangent, enclosing origin",0.22087180292235217,1.9752166311865594e-09,0.2760604325858712,near-tangent,9.91507122758776
1.0000000000000002,1,3.0,2.85,0.7701128769041747,1.0,5.5,10,0.5,"near-tangent, enclosing origin",0.21672325941889653,1.880898923515189e-09,0.281507330644439,near-tangent,9.712457337416708
1.0000000000000002,1,3.0,2.85,0.7295211672959776,1.0,6.0,10,0.5,"near-tangent, enclosing origin",0.22722516358357178,1.3148180500825737e-09,0.2855031603650418,near-tangent,9.733393390662968
1.0000000000000002,1,3.0,2.85,0.6912568739351008,1.0,6.5,10,0.5,"near-tangent, enclosing origin",0.233442328445317,1.3916610956732065e-09,0.2884674165091507,near-tangent,9.62539008911699
1.0000000000000002,1,3.0,2.85,0.655570881728694,1.0000000000000002,7.0,10,0.5000000000000001,"near-tangent, enclosing origin",0.23468899228930548,1.4458757161754612e-10,0.29069998584946616,near-tangent,9.139608908444643
1.0000000000000002,1,3.0,2.85,0.6387118485179437,1.0000000000000002,7.25,10,0.5000000000000001,"near-tangent, enclosing origin",0.23333899176166825,1.4572579497413592e-09,0.2916104672969084,near-tangent,7.529407788999379
1.0,1,3.0,2.85,0.6224999377901868,1.0,7.5,10,0.5,"near-tangent, enclosing origin",0.2306717188859886,1.3578743263203646e-09,0.2924115178612755,near-tangent,7.600816871970892
1.0,1,3.0,2.85,0.5919580072972122,1.0000000000000002,8.0,10,0.5000000000000001,"near-tangent, enclosing origin",0.2215624542133656,1.1065376218183414e-09,0.29374874058654793,near-tangent,7.544504653662443
1.0,1,3.0,2.85,0.4917679384518805,1.0,10.0,10,0.5,"near-tangent, enclosing origin",0.21852172683051624,4.1179817607577005e-10,0.29698851193566533,near-tangent,7.885389337316155
